id,name,activity_type,priority,frequency,duration_minutes,details,facilitator,location,can_be_remote,prep_requirements,backup_activities,skip_adjustments,metrics_to_collect,equipment_needed,specialist_needed,allied_health_needed,preferred_time_slots
ACT_001,Morning Zone 2 Cardio Run,fitness,21,three_times_weekly,45,"Maintain HR between 120-140 BPM, nasal breathing",Running Coach,Outdoor Track,False,Wear appropriate workout clothes,ACT_007,Add extra cardio to next session if skipped,heart_rate|distance|pace|cadence,heart_rate_monitor|running_watch,,,morning
ACT_002,High-Intensity Interval Training,fitness,22,twice_weekly,30,"4x4 protocol: 4 min high intensity, 3 min recovery",Personal Trainer,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,heart_rate_max|calories_burned|vo2_estimate,treadmill|heart_rate_monitor,,,morning|afternoon|evening
ACT_003,Strength Training - Upper Body,fitness,23,three_times_weekly,60,"Focus on compound movements: bench press, rows, shoulder press",Strength Coach,Gym,False,Wear appropriate workout clothes,ACT_012,Add extra cardio to next session if skipped,weight_lifted|reps|sets|rpe,barbell|dumbbells|bench,,,morning|afternoon
ACT_004,Strength Training - Lower Body,fitness,24,three_times_weekly,60,"Squats, deadlifts, lunges - progressive overload protocol",Strength Coach,Gym,False,Wear appropriate workout clothes,ACT_012,Add extra cardio to next session if skipped,weight_lifted|reps|sets|rpe,barbell|squat_rack|leg_press,,,morning|afternoon
ACT_005,Yoga Flow Session,fitness,25,twice_weekly,45,Vinyasa flow focusing on flexibility and breath work,Yoga Instructor,Yoga Studio,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,flexibility_score|breath_count,yoga_mat,,,morning|afternoon|evening
ACT_006,Swimming Laps,fitness,26,twice_weekly,40,"Mixed strokes, focus on endurance and technique",Swim Coach,Pool,False,Wear appropriate workout clothes,ACT_001,Add extra cardio to next session if skipped,laps_completed|stroke_count|time_per_lap,swim_goggles|swim_cap,,,morning|afternoon|evening
ACT_007,Cycling Session,fitness,27,three_times_weekly,60,"Zone 2 endurance ride, flat terrain",Cycling Coach,Indoor/Outdoor,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,distance|average_speed|cadence|heart_rate,bicycle|cycling_computer,,,morning|afternoon|evening
ACT_008,Eye Exercise Routine,fitness,28,daily,10,Bates method exercises for eye health - 20-20-20 rule compliance,Self,Home,True,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,completion|eye_strain_level,,,,morning|afternoon|evening
ACT_009,Core Stability Workout,fitness,29,three_times_weekly,20,"Planks, dead bugs, bird dogs - focus on anti-rotation",Personal Trainer,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,hold_times|reps,exercise_mat,,,morning|afternoon|evening
ACT_010,Mobility and Stretching,fitness,30,daily,15,Dynamic and static stretching routine,Self,Home,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,flexibility_assessment,foam_roller|exercise_mat,,,morning|afternoon|evening
ACT_011,Walking Meditation,fitness,31,three_times_weekly,30,"Mindful walking at slow pace, focus on breathing",Self,Park,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,steps|mindfulness_rating,,,,morning|afternoon|evening
ACT_012,Resistance Band Training,fitness,32,three_times_weekly,30,Full body resistance training with bands,Physical Therapist,Home,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,reps|resistance_level,resistance_bands,,,morning|afternoon|evening
ACT_013,Balance Training,fitness,33,three_times_weekly,20,"Single leg stands, BOSU ball exercises",Personal Trainer,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,balance_time|falls,bosu_ball|balance_board,,,morning|afternoon|evening
ACT_014,Rowing Machine Workout,fitness,34,three_times_weekly,25,500m intervals with active recovery,Rowing Coach,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,split_time|stroke_rate|distance,rowing_machine,,,morning|afternoon|evening
ACT_015,Pilates Session,fitness,35,three_times_weekly,45,Mat Pilates focusing on core and posture,Pilates Instructor,Studio,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,form_score|exercises_completed,pilates_mat|pilates_ring,,,morning|afternoon|evening
ACT_016,Stair Climbing,fitness,36,three_times_weekly,15,"Building stairs for cardio, 10 floors minimum",Self,Building,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,floors_climbed|heart_rate,,,,morning|afternoon|evening
ACT_017,Kettlebell Training,fitness,37,three_times_weekly,30,"Swings, Turkish get-ups, goblet squats",Kettlebell Instructor,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,weight|reps|form_rating,kettlebells,,,morning|afternoon|evening
ACT_018,Tai Chi Practice,fitness,38,three_times_weekly,30,Slow form practice for balance and mindfulness,Tai Chi Instructor,Park,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,form_completion|balance_rating,,,,morning|afternoon|evening
ACT_019,Boxing/Kickboxing,fitness,39,three_times_weekly,45,Pad work and bag work for cardio and coordination,Boxing Coach,Boxing Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,punches_thrown|calories_burned,boxing_gloves|heavy_bag,,,morning|afternoon|evening
ACT_020,Functional Movement Screen,fitness,40,three_times_weekly,30,Assessment of movement patterns and mobility,Physical Therapist,Clinic,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,fms_score|asymmetries_noted,fms_kit,,,morning|afternoon|evening
ACT_021,Protein-Rich Breakfast,food,15,daily,20,"30g protein minimum, low glycemic carbs",Self,Home,True,Meal prep required night before,,Ensure adequate nutrition in next meal,protein_grams|calories|glycemic_load,,,,morning
ACT_022,Mid-Morning Supplement Stack,food,16,daily,5,"Vitamin D3, Omega-3, Magnesium glycinate",Self,Home,True,Organize pill box weekly,,Ensure adequate nutrition in next meal,supplements_taken|time_taken,,,,morning
ACT_023,Pre-Workout Nutrition,food,17,daily,10,Light carbs and caffeine 45 min before exercise,Self,Home,True,Prepare smoothie ingredients,,Ensure adequate nutrition in next meal,timing_accuracy|energy_level,,,,morning|afternoon
ACT_024,Post-Workout Recovery Shake,food,18,daily,10,"Whey protein, creatine, fast carbs within 30 min",Self,Gym/Home,True,Pre-pack protein powder,,Ensure adequate nutrition in next meal,protein_grams|timing_post_workout,,,,morning|afternoon|evening
ACT_025,Balanced Lunch,food,19,daily,30,"Mediterranean-style: vegetables, lean protein, olive oil",Self,Home/Office,True,Meal prep on Sunday,,Ensure adequate nutrition in next meal,vegetable_servings|protein_grams|healthy_fats,,,,afternoon
ACT_026,Afternoon Healthy Snack,food,20,daily,10,"Nuts, Greek yogurt, or fruit",Self,Anywhere,True,Pack snacks morning,,Ensure adequate nutrition in next meal,calories|satiety_rating,,,,afternoon
ACT_027,Dinner - High Fiber,food,21,daily,40,"25g fiber target, colorful vegetables",Self,Home,True,"Grocery shopping, cooking",,Ensure adequate nutrition in next meal,fiber_grams|vegetable_variety,,,,evening
ACT_028,Evening Supplement,food,22,daily,5,"Zinc, B-complex before bed",Self,Home,True,Pill organizer,,Ensure adequate nutrition in next meal,supplements_taken,,,,evening
ACT_029,Hydration Check,food,23,daily,5,Ensure 3L water intake throughout day,Self,Anywhere,True,Fill water bottle,,Ensure adequate nutrition in next meal,water_intake_liters,,,,morning|afternoon|evening
ACT_030,Probiotics Intake,food,24,daily,5,Morning probiotic for gut health,Self,Home,True,Keep refrigerated,,Ensure adequate nutrition in next meal,strain_count|consistency,,,,morning|afternoon|evening
ACT_031,Collagen Supplement,food,25,daily,5,Collagen peptides for joint and skin health,Self,Home,True,Mix with morning coffee,,Ensure adequate nutrition in next meal,grams_consumed,,,,morning|afternoon|evening
ACT_032,Electrolyte Drink,food,26,daily,5,LMNT or similar during/after exercise,Self,Gym,True,Pack electrolytes,,Ensure adequate nutrition in next meal,sodium_mg|potassium_mg,,,,morning|afternoon|evening
ACT_033,Green Smoothie,food,27,daily,10,"Spinach, kale, berries, protein powder",Self,Home,True,Prep ingredients night before,,Ensure adequate nutrition in next meal,vegetable_servings|antioxidant_score,,,,morning|afternoon|evening
ACT_034,Intermittent Fasting Window,food,28,daily,0,16:8 protocol - eating window 12pm-8pm,Self,N/A,True,Track fasting app,,Ensure adequate nutrition in next meal,fasting_hours|compliance,,,,morning|afternoon|evening
ACT_035,Omega-3 Rich Fish Meal,food,29,twice_weekly,30,Salmon or mackerel for EPA/DHA,Self,Home,True,Purchase fresh fish,,Ensure adequate nutrition in next meal,omega3_grams|mercury_consideration,,,,morning|afternoon|evening
ACT_036,Morning Blood Pressure Medication,medication,1,daily,5,"Take with water, before breakfast",Self,Home,True,Pill organizer,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",time_taken|blood_pressure_reading,,,,morning
ACT_037,Thyroid Medication,medication,2,daily,5,"Empty stomach, 30 min before food",Self,Home,True,Set alarm reminder,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",time_taken|empty_stomach_compliance,,,,morning
ACT_038,Metformin with Dinner,medication,3,daily,5,Take with largest meal to reduce GI side effects,Self,Home,True,Pill organizer,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",time_taken|meal_size,,,,evening
ACT_039,Statin Before Bed,medication,4,daily,5,"Cholesterol medication, evening dose",Self,Home,True,Bedside pill organizer,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",time_taken|consistency,,,,evening
ACT_040,Inhaler Use,medication,5,twice_daily,5,"Preventive inhaler, morning and evening",Self,Home,True,Check inhaler charge,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",puffs|technique_score,,,,morning
ACT_041,Allergy Medication,medication,6,daily,5,Antihistamine as needed during high pollen,Self,Anywhere,True,Carry backup,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",symptom_relief_rating,,,,morning
ACT_042,Pain Management Medication,medication,7,daily,5,As prescribed for chronic condition,Self,Home,True,Track usage,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",pain_level_before|pain_level_after,,,,morning
ACT_043,Sleep Aid (if needed),medication,8,as_needed,5,"Melatonin 0.5mg, 30 min before bed",Self,Home,True,Low dose only,,"CRITICAL: Take medication as soon as remembered, consult doctor if missed",sleep_latency|sleep_quality,,,,evening
ACT_044,Infrared Sauna Session,therapy,51,three_times_weekly,30,20 min at 140°F for detox and relaxation,Spa Staff,Wellness Center,False,Hydrate well before session,ACT_044,Reschedule within the week if possible,temperature|duration|sweat_level,infrared_sauna,,,afternoon|evening
ACT_045,Cold Plunge/Ice Bath,therapy,52,three_times_weekly,10,3-5 min at 50°F for recovery and hormesis,Self,Wellness Center,False,Hydrate well before session,,Reschedule within the week if possible,water_temp|duration|hrv_change,cold_plunge_tub,,,afternoon|evening
ACT_046,Contrast Therapy,therapy,53,weekly,45,Alternating hot sauna and cold plunge,Spa Staff,Wellness Center,False,Hydrate well before session,,Reschedule within the week if possible,cycles_completed|recovery_feeling,sauna|cold_plunge_tub,,,afternoon|evening
ACT_047,Deep Tissue Massage,therapy,54,weekly,60,"Focus on problem areas, pressure as tolerated",Massage Therapist,Spa,False,Hydrate well before session,,Reschedule within the week if possible,pressure_level|areas_treated|pain_relief,massage_table,,,afternoon|evening
ACT_048,Acupuncture Session,therapy,55,weekly,45,Traditional Chinese medicine for balance,Acupuncturist,TCM Clinic,False,Hydrate well before session,,Reschedule within the week if possible,points_treated|energy_level_after,acupuncture_needles,,,afternoon|evening
ACT_049,Red Light Therapy,therapy,56,weekly,15,"Full body panel, 10-15 min exposure",Self,Home/Clinic,False,Hydrate well before session,,Reschedule within the week if possible,exposure_time|skin_response,red_light_panel,,,afternoon|evening
ACT_050,Compression Therapy,therapy,57,weekly,30,Normatec boots for leg recovery,Self,Gym/Home,False,Hydrate well before session,,Reschedule within the week if possible,pressure_setting|leg_soreness_before_after,compression_boots,,,afternoon|evening
ACT_051,Float Tank Session,therapy,58,weekly,60,Sensory deprivation for mental recovery,Float Center Staff,Float Center,False,Hydrate well before session,,Reschedule within the week if possible,relaxation_rating|mental_clarity,float_tank,,,afternoon|evening
ACT_052,Hyperbaric Oxygen Therapy,therapy,59,weekly,60,HBOT for cellular recovery,HBOT Technician,HBOT Center,False,Hydrate well before session,,Reschedule within the week if possible,pressure_ata|oxygen_saturation,hyperbaric_chamber,,,afternoon|evening
ACT_053,Cryotherapy Chamber,therapy,60,weekly,10,Whole body cryo at -200°F for 3 min,Cryo Technician,Cryo Center,False,Hydrate well before session,,Reschedule within the week if possible,temperature|duration|skin_temp_after,cryo_chamber,,,afternoon|evening
ACT_054,Sound Bath/Meditation,therapy,61,weekly,45,Guided meditation with singing bowls,Sound Healer,Wellness Center,False,Hydrate well before session,,Reschedule within the week if possible,relaxation_depth|stress_reduction,singing_bowls,,,afternoon|evening
ACT_055,Breathwork Session,therapy,62,daily,30,Wim Hof or holotropic breathing,Breathwork Coach,Studio/Home,True,Hydrate well before session,,Reschedule within the week if possible,breath_hold_time|oxygen_saturation,,,,afternoon|evening
ACT_056,Cardiologist Check-up,consultation,10,monthly,45,Annual heart health assessment,cardiologist,Cardiology Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,ecg_results|blood_pressure|heart_rate,,cardiologist,,morning|afternoon
ACT_057,Endocrinologist Consultation,consultation,31,monthly,30,Hormone panel review and optimization,endocrinologist,Endo Clinic,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,hormone_levels|treatment_adjustments,,endocrinologist,,morning|afternoon
ACT_058,Nutritionist Session,consultation,32,monthly,45,Meal plan review and adjustments,dietitian,Nutrition Office,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,macro_targets|meal_plan_adherence,,,dietitian,morning|afternoon
ACT_059,Physical Therapy Session,consultation,33,weekly,60,Injury rehab and movement optimization,physiotherapist,PT Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,rom_measurements|strength_tests,,,physiotherapist,morning|afternoon
ACT_060,Mental Health Check-in,consultation,34,weekly,50,Therapy session for stress management,psychiatrist,Mental Health Clinic,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,mood_rating|anxiety_level|sleep_quality,,psychiatrist,,morning|afternoon
ACT_061,Dermatologist Appointment,consultation,35,monthly,30,Skin health check and mole mapping,dermatologist,Derm Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,skin_conditions_noted|uv_damage_assessment,,dermatologist,,morning|afternoon
ACT_062,Ophthalmologist Visit,consultation,36,monthly,45,Comprehensive eye exam,ophthalmologist,Eye Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,vision_acuity|eye_pressure|retina_health,,ophthalmologist,,morning|afternoon
ACT_063,Sleep Specialist Consultation,consultation,37,monthly,30,Review sleep study results,sleep_specialist,Sleep Clinic,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,ahi_score|sleep_efficiency|rem_percentage,,sleep_specialist,,morning|afternoon
ACT_064,Sports Medicine Consultation,consultation,38,monthly,45,Athletic performance optimization,sports_medicine,Sports Med Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,injury_risk_assessment|performance_markers,,sports_medicine,,morning|afternoon
ACT_065,Functional Medicine Doctor,consultation,39,monthly,60,Root cause analysis and lifestyle medicine,functional_medicine,FM Clinic,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,biomarker_review|protocol_adjustments,,functional_medicine,,morning|afternoon
ACT_066,Occupational Therapist Session,consultation,40,monthly,45,Workplace ergonomics and daily activities,occupational_therapist,OT Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,ergonomic_score|activity_modifications,,,occupational_therapist,morning|afternoon
ACT_067,Speech Therapist Session,consultation,41,monthly,30,Voice and swallowing assessment,speech_therapist,Speech Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,voice_quality|swallow_function,,,speech_therapist,morning|afternoon
ACT_068,Chiropractor Adjustment,consultation,42,weekly,30,Spinal alignment and adjustment,chiropractor,Chiro Clinic,False,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,alignment_assessment|adjustments_made,,,chiropractor,morning|afternoon
ACT_069,Health Coach Check-in,consultation,43,weekly,30,Weekly accountability and goal review,health_coach,Virtual,True,Prepare questions and health log before appointment,,Reschedule appointment within 2 weeks,goal_progress|adherence_score,,,health_coach,morning|afternoon
ACT_070,Light Recovery Walk,fitness,45,daily,20,Easy 20-min walk for active recovery,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_071,Gratitude Journaling,therapy,70,daily,10,Write 3 things grateful for,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_072,Vitamin B12 Supplement,food,35,daily,5,Sublingual B12 for energy,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_073,Standing Desk Breaks,fitness,55,daily,5,Stand and stretch every hour,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_074,Evening Wind-Down Routine,therapy,60,daily,15,"Blue light glasses, dim lights",Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,evening
ACT_075,Weekly Progress Photos,fitness,85,weekly,5,Take body composition photos,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_076,Blood Glucose Check,medication,5,daily,5,Morning fasting glucose test,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_077,Posture Check-ins,fitness,65,three_times_weekly,5,Ergonomic posture assessment,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_078,Social Connection Time,therapy,75,weekly,60,Quality time with family/friends,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_079,Nature Exposure,therapy,80,weekly,30,Outdoor time in natural setting,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_080,Brain Training Games,fitness,70,daily,15,Cognitive exercises app,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_081,Grip Strength Training,fitness,50,three_times_weekly,10,Hand gripper exercises,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_082,Neck and Shoulder Stretches,fitness,55,daily,10,Office-friendly stretches,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_083,Magnesium Bath Soak,therapy,72,twice_weekly,30,Epsom salt bath for recovery,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_084,Meal Prep Sunday,food,30,weekly,120,Prepare healthy meals for week,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_085,Ankle Mobility Drills,fitness,58,daily,10,Circles and stretches for ankle health,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_086,Hip Flexor Stretches,fitness,56,daily,10,Combat sitting with hip openers,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_087,Wrist Exercises,fitness,60,daily,5,Prevent RSI with wrist mobility,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_088,Deep Breathing Exercises,therapy,65,twice_daily,10,4-7-8 breathing technique,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_089,Cold Shower Ending,therapy,68,daily,5,30 seconds cold at end of shower,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_090,Foam Rolling Session,fitness,52,daily,15,Self-myofascial release,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_091,Meditation Session,therapy,62,daily,15,Guided mindfulness meditation,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_092,Vitamin C Intake,food,38,daily,5,Citrus or supplement for immunity,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_093,Fiber Supplement,food,40,daily,5,Psyllium husk for digestive health,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_094,Apple Cider Vinegar,food,42,daily,5,Diluted ACV before meals,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_095,Evening Protein Snack,food,36,daily,10,Casein or cottage cheese before bed,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,evening
ACT_096,Mid-Day Walk,fitness,48,daily,10,10-minute walk after lunch,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_097,Stair Intervals,fitness,46,three_times_weekly,10,Quick stair climbing for cardio,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_098,Jump Rope Session,fitness,44,three_times_weekly,15,Cardio and coordination training,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_099,Wall Sits,fitness,54,daily,5,Isometric leg strengthening,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_100,Plank Challenge,fitness,53,daily,5,Progressive plank hold times,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_101,Box Breathing,therapy,66,daily,10,4-4-4-4 breath pattern for stress,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_102,Progressive Muscle Relaxation,therapy,64,daily,15,Full body tension release,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_103,Sleep Hygiene Review,therapy,74,weekly,10,Check bedroom environment,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_104,Weekly Weigh-in,fitness,86,weekly,5,Track body composition,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
ACT_105,Blood Pressure Log,medication,8,daily,5,Record BP readings,Self,Home,True,,,Resume on next scheduled day,completion|quality_rating,,,,morning|afternoon|evening
